Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_5,Respuesta_6
Algo que prendes y apagas todos los días,La luz,El celular / La pantalla,La televisión,La computadora,El radio o estéreo,La estufa
Una fruta que por fuera es de color verde,Limón,Pera,Sandía,Manzana verde,Aguacate,Uva
"Además del pollo, menciona otra ave que se coma",Pavo / Guajolote,Pato,Codorniz,Avestruz,Faisán,Paloma
Un antojito mexicano muy popular,Tacos,Pozole,Enchiladas,Quesadillas,Sopes,Tamales
Un problema o accidente que te puede pasar en el baño,Se acabó el papel,No hay agua,Está tapado el excusado,Alguien abre la puerta,No hay jabón,Resbalarse en la regadera
Algo que la gente suele perder con mucha frecuencia,Las llaves,El celular,El dinero o la cartera,Un calcetín al lavar,El control remoto,Los lentes
Un lugar donde casi siempre tienes que hacer fila,El banco,El supermercado,Las tortillas / Tortillería,El cine,Los baños públicos,El transporte público
Algo que llevas guardado en la cartera,Dinero / Billetes,Identificación oficial / INE,Tarjetas de crédito o débito,Fotografías familiares,Monedas,Recibos o tickets viejos
Una parte del cuerpo en donde se suele pedir un masaje,La espalda,El cuello,Los hombros,Los pies,Las piernas,La cabeza
Algo que usas mucho durante el invierno,Chamarra / Abrigo,Bufanda,Guantes,Gorro,Botas,Cobija gruesa
Algo que le untas a un pan,Mantequilla,Mermelada,Frijoles,Mayonesa,Cajeta,Crema de cacahuate
Una excusa común para llegar tarde al trabajo o la escuela,Había mucho tráfico,Me quedé dormido,El transporte se retrasó,Me sentía enfermo,Estaba lloviendo,Tuve un accidente
Algo que no puede faltar en una fiesta infantil,La piñata,El pastel,Los dulces,Los globos,La gelatina,El payaso o animador
Un animal que asocias con la brujería o Halloween,Gato negro,Murciélago,Sapo,Araña,Búho o lechuza,Cuervo
Una materia escolar que a muchos se les dificulta,Matemáticas,Física,Química,Historia,Inglés,Español / Ortografía
Algo que haces justo antes de dormir,Lavarse los dientes,Revisar el celular,Poner la alarma,Apagar la luz,Ir al baño,Rezar
Un instrumento musical que está en una banda de rock,Guitarra eléctrica,Batería,Bajo,Teclado,Micrófono,Saxofón
Algo que compras en la farmacia además de medicina,Papel higiénico,Pañales,Champú o jabón,Dulces o chicles,Maquillaje,Refrescos o agua
Una profesión en la que se usa uniforme,Policía,Enfermera / Médico,Bombero,Militar,Chef / Cocinero,Piloto
